,Director,Actor_list
2078,Brad Bird,Bruce Willis
2079,M. Night Shyamalan,Pierce Brosnan
2080,John McTiernan,Steve McQueen
2081,Norman Jewison,Stephen McCole
2082,Paul McGuigan,Adrian Grenier
2083,Tod Williams,Mark Wahlberg
2084,James Gray,Steve Martin
2085,Frank Oz,Claire Danes
2086,Jonathan Kaplan,Edward Furlong
2087,Adam Rifkin,Wendy Crewson
2088,Anne Wheeler,Alex Dimitriades
2089,Ana Kokkinos,Warren Beatty
2090,Warren BeattyBuck Henry,Vincent Price
2091,Roger Corman,Vincent Price
2092,Roger Corman,Gene Wilder
2093,Gene Wilder,Drew Barrymore
2094,Lewis Teague,John Cleese
2095,Ian MacNaughton,William Holden
2096,Don TaylorMike Hodges(uncredited),Sam Neill
2097,Graham Baker,Robert Hays
2098,Jim AbrahamsDavid ZuckerJerry Zucker,Robert Hays
2099,Ken Finkleman,Tom Everett Scott
2100,Anthony Waller,Chevy Chase
2101,Amy Heckerling,Chevy Chase
2102,Harold Ramis,Chevy Chase
2103,George Roy Hill,Tom Hanks
2104,Penny Marshall,Michael Oliver
2105,Dennis Dugan,John Ritter
2106,Brian Levant,Gabriel Damon
2107,Masami HataWilliam T. Hurtz,Ralph Fiennes
2108,Gillian Armstrong,Mel Gibson
2109,Robert Towne,Julia Roberts
2110,Alan J. Pakula,Peter Billingsley
2111,Bob Clark,Hugh Grant
2112,Kelly MakinCarl Gottlieb(uncredited),Helen Mirren
2113,Kevin Williamson,Jean-Claude Van Damme
2114,Mic Rodgers,Jean-Claude Van Damme
2115,Roland Emmerich,Junko Iwao
2116,Satoshi Kon,Lloyd Adams
2117,Michael Rymer,Johnny Depp
2118,Chuck Workman,Louis Gossett Jr.
2119,Sidney J. Furie,Louis Gossett Jr.
2120,Sidney J. Furie,Louis Gossett Jr.
2121,John Glen,Louis Gossett Jr.
2122,Sidney J. Furie,Robert Redford
2123,Sydney Pollack,Richard Burton
2124,Bill ColleranJohn Gielgud,Sean Connery
2125,John McTiernan,Sam Doumit
2126,Nanette BursteinBrett Morgen,Antonio Banderas
2127,John McTiernanMichael Crichton(reshoots),Charlize Theron
2128,Rand Ravich,Brendan Fraser
2129,Hugh Wilson,Albert Brooks
2130,Albert Brooks,Cuba Gooding Jr.
2131,Hugh Johnson,Shawn Hatosy
2132,Michael Corrente,Kevin McKidd
2133,Rose Troche,Rami Doueiri
2134,Ziad Doueiri,Patricia Arquette
2135,Rupert Wainwright,Kevin Bacon
2136,David Koepp,Bajram Severdzan
2137,Emir Kusturica,Owen Wilson
2138,Hampton Fancher,Kyôko Koizumi
2139,Masanori Hata,Cary Grant
2140,Howard Hawks,Orson Welles
2141,Orson Welles,Farrah Fawcett
2142,Stanley DonenJohn Barry(uncredited),Howard E. Rollins Jr.
2143,Norman Jewison,Joan Crawford
2144,William Castle,Paul McCartney
2145,George Dunning,Kevin Spacey
2146,Sam Mendes,David Byrne
2147,Jonathan Demme,Martin Lawrence
2148,Les Mayfield,Kevin Costner
2149,Sam Raimi,Malcolm McDowell
2150,Tinto Brass(principal photography),John Lennon
2151,Richard Lester,Jade Gordon
2152,Allison AndersKurt Voss,Gary Busey
2153,Steve Rash,Chris Sarandon
2154,Tom Holland,William Ragsdale
2155,Tommy Lee Wallace,Robert Redford
2156,Gene Saks,Jon Voight
2157,John Boorman,Nigel Terry
2158,John Boorman,Doris Day
2159,George AbbottStanley Donen,Richard Gere
2160,Jon Amiel,Jodi Benson
2161,Don BluthGary Goldman,Roger Daltrey
2162,Ken Russell,Linda Blair
2163,Tom DeSimone,Jackie Chan
2164,Jackie Chan,Jackie Chan
2165,Jackie ChanEric Tsang(uncredited),Ashley Judd
2166,Bruce Beresford,Robin Williams
2167,Peter Kassovitz,Loren Dean
2168,Lawrence Kasdan,Natasha Henstridge
2169,Bruce McCulloch,Sarah Polley
2170,Audrey Wells,Kevin Clash
2171,Gary Halvorson,Dennis Rodman
2172,Kevin Alyn Elders,Melissa Joan Hart
2173,John Schultz,Russell Crowe
2174,Jay Roach,George Clooney
2175,David O. Russell,Jeremy Northam
2176,Mark Illsley,Christopher Walken
2177,Abel Ferrara,Robert Carlyle
2178,Jake Scott,Caroline Ducey
2179,Catherine Breillat,William Holden
2180,Edward Dmytryk,Freddie Jones
2181,Federico Fellini,Timothy Hutton
2182,George A. Romero,Jessica Dragonette
2183,Dave FleischerWillard Bowsky(uncredited)Orestes Calpini(uncredited),Jason Beghe
2184,George A. Romero,A. Michael Baldwin
2185,Don Coscarelli,Anthony Perkins
2186,Richard Franklin,Anthony Perkins
2187,Anthony Perkins,Toshirô Mifune
2188,Akira Kurosawa,Harrison Ford
2189,Sydney Pollack,Molly Shannon
2190,Bruce McCulloch,Hilary Swank
2191,Kimberly Peirce,Terence Stamp
2192,Steven Soderbergh,Tom Cruise
2193,Paul Brickman,Arnold Schwarzenegger
2194,Paul Verhoeven,William Hurt
2195,Lawrence Kasdan,Matthew Broderick
2196,John Hughes,Mel Gibson
2197,Peter Weir,Clint Eastwood
2198,Clint Eastwood,Clint Eastwood
2199,Ted Post,Jackie Chan
2200,Woo-Ping Yuen,Jean-Louis Trintignant
2201,Bernardo Bertolucci,Sonny Bono
2202,John Waters,Celia Johnson
2203,David Lean,Bill Murray
2204,John Byrum,Warren Beatty
2205,Warren Beatty,Everett Alvarez
2206,Freida Lee MockTerry Sanders,Davor Dujmovic
2207,Emir Kusturica,Richard Gere
2208,Terrence Malick,Barbara Stanwyck
2209,Preston Sturges,Joel McCrea
2210,Preston Sturges,Claudette Colbert
2211,Preston Sturges,Marilyn Monroe
2212,Henry Hathaway,Rita Hayworth
2213,Charles Vidor,Rossano Brazzi
2214,Joshua Logan,Jennifer Beals
2215,Adrian Lyne,Catherine Deneuve
2216,Régis Wargnier,Lee Marvin
2217,Robert Aldrich,John Lennon
2218,Richard Lester,Sean Connery
2219,Guy Hamilton,Sean Connery
2220,Terence Young,Sean Connery
2221,Terence Young,Brooke Shields
2222,Randal Kleiser,Clint Eastwood
2223,Sergio Leone,Philip Baker Hall
2224,Paul Thomas Anderson,Macaulay Culkin
2225,Chris Columbus,Tom Berenger
2226,Ridley Scott,Brad Pitt
2227,David Fincher,Bruce Willis
2228,Rob Reiner,Colin Firth
2229,David Evans,Ewen Bremner
2230,Harmony Korine,Casper Van Dien
2231,Robert Marcarelli,Richard Farnsworth
2232,David Lynch,Nancy Kelly
2233,Mervyn LeRoy,Sean Connery
2234,Terry Gilliam,Anouk Aimée
2235,Claude Lelouch,Klaus Kinski
2236,Werner Herzog,Roy Scheider
2237,Bob Fosse,Gong Li
2238,Yimou Zhang,Martin Landau
2239,Woody Allen,Lou Diamond Phillips
2240,Louis Morneau,Taye Diggs
2241,Malcolm D. Lee,Nicolas Cage
2242,Martin Scorsese,Melanie Griffith
2243,Antonio Banderas,Neve Campbell
2244,Damon Santostefano,Joe Basile
2245,Michael Cristofer,Jenny Seagrove
2246,William Friedkin,Michael Caine
2247,Sidney J. Furie,Steve McQueen
2248,Bruce Brown,Peter Weller
2249,Paul Verhoeven,Peter Weller
2250,Irvin Kershner,Bob Hoskins
2251,Robert Zemeckis,Paul Le Mat
2252,Jonathan Demme,Roger Moore
2253,John Glen,Timothy Dalton
2254,John Glen,Roger Moore
2255,Guy Hamilton,David Dukes
2256,George Pavlou,Sean Connery
2257,Terence Young,Geoffrey Rush
2258,William Malone,Meryl Streep
2259,Wes Craven,John Cusack
2260,Spike Jonze,Yôji Matsuda
2261,Hayao Miyazaki,Werner Herzog
2262,Werner Herzog,Lionel Abelanski
2263,Radu Mihaileanu,Chris O'Donnell
2264,Gary Sinyor,Denzel Washington
2265,Phillip Noyce,Russell Crowe
2266,Michael Mann,Mark Borchardt
2267,Chris Smith,Don McKellar
2268,Don McKellar,Émilie Dequenne
2269,Jean-Pierre DardenneLuc Dardenne,Jane Fonda
2270,Sydney Pollack,Jeffrey Combs
2271,Brian Yuzna,Richard Pryor
2272,Oz ScottMichael Schultz(uncredited),Michael Douglas
2273,Michael Crichton,Hal Holbrook
2274,George A. Romero,George Kennedy
2275,Michael Gornick,Jeffrey Combs
2276,Stuart Gordon,Matt Dillon
2277,Gus Van Sant,Michael Douglas
2278,Joel Schumacher,Elizabeth Berridge
2279,Tobe Hooper,Buster Keaton
2280,Clyde BruckmanBuster Keaton,Bradford Dillman
2281,Joe Dante,Elizabeth Taylor
2282,Franco Zeffirelli,Sylvester Stallone
2283,Bruce MalmuthGary Nelson(uncredited),Toshirô Mifune
2284,Akira Kurosawa,Leslie Nielsen
2285,Bob Logan,Charlton Heston
2286,Boris Sagal,Mel Brooks
2287,Mel Brooks,Brian Bedford
2288,Wolfgang ReithermanDavid Hand(earlier film clips),Henry Fonda
2289,John FordMervyn LeRoyJoshua Logan(uncredited),Everett McGill
2290,Jean-Jacques Annaud,Dustin Hoffman
2291,Arthur Penn,Andy Griffith
2292,Elia Kazan,Eddie Murphy
2293,John Landis,Bill Murray
2294,Ivan Reitman,Richard Mulligan
2295,Ken Wiederhorn,Sally Kellerman
2296,George Mendeluk,Corey Feldman
2297,Bob Logan,Kenneth Branagh
2298,Kenneth Branagh,Hugh Laurie
2299,Kenneth Branagh,Laurel Holloman
2300,Maria Maggenti,Chevy Chase
2301,Steve Rash,Susan Sarandon
2302,Wayne Wang,Ben Affleck
2303,Kevin Smith,Milla Jovovich
2304,Luc Besson,Veronica Taylor
2305,Kunihiko YuyamaMichael Haigney(English adaptation),Bob Hoskins
2306,Atom Egoyan,Maura Tierney
2307,Richard Shepard,Miguel Ferrer
2308,Daniel Pyne,Robert Arkins
2309,Alan Parker,Bing Crosby
2310,Mark SandrichRobert Allen(animation sequences),John Wayne
2311,Ken Annakin(British exterior episodes)Andrew Marton(American exterior episodes)Gerd Oswald(scenes deleted),Drew Barrymore
2312,Katt Shea,Jaime Pressly
2313,Kurt Voss,Martin Balsam
2314,Richard FleischerKinji Fukasaku(Japanese sequences)Toshio Masuda(Japanese sequences),Carmen Maura
2315,Pedro Almodóvar,Paul Newman
2316,Sidney Lumet,Peter Weller
2317,W.D. Richter,Edward James Olmos
2318,Ramón Menéndez,Cher
2319,Norman Jewison,Elizabeth Taylor
2320,Vincente Minnelli,Robert Redford
2321,Sydney Pollack,Catherine Deneuve
2322,Roman Polanski,Jack Lemmon
2323,Billy Wilder,Bruce Balden
2324,Michael Apted,Adrien Brody
2325,Barry Levinson,Frances O'Connor
2326,Patricia Rozema,Johnny Depp
2327,Tim Burton,Pierce Brosnan
2328,Michael Apted,Cecilia Roth
2329,Pedro Almodóvar,Stan Laurel
2330,Gus MeinsCharley Rogers,Bill Murray
2331,Richard Donner,James Stewart
2332,Henry Koster,Lamberto Maggiorani
2333,Vittorio De Sica,Chris Cooper
2334,John Sayles,Tatsuya Nakadai
2335,Akira Kurosawa,Warren Beatty
2336,Robert Altman,James Wilby
2337,James Ivory,Henry Fonda
2338,John Ford,June Allyson
2339,Henry Koster,Margaret Sullavan
2340,Ernst Lubitsch,Robert Redford
2341,Barry Levinson,Warren Beatty
2342,Hal Ashby,Craig Sheffer
2343,Robert Redford,Michael Douglas
2344,Adrian Lyne,Jeff Bridges
2345,Richard Marquand,Jane Fonda
2346,Martin Ritt,Robert De Niro
2347,Martin Brest,Robert De Niro
2348,Penny Marshall,Dennis Quaid
2349,Alan Parker,Kurt Russell
2350,Ron Howard,Jeff Bridges
2351,Terry Gilliam,Mel Gibson
2352,Mark Rydell,Sally Field
2353,Robert Benton,Sissy Spacek
2354,Tom Moore,Arnold Schwarzenegger
2355,Peter Hyams,Tom Hanks
2356,John LasseterAsh BrannonLee Unkrich,Robert De Niro
2357,Joel Schumacher,Tobey Maguire
2358,Ang Lee,Eddie Murphy
2359,Jonathan Lynn,Ralph Fiennes
2360,Neil Jordan,Kate Winslet
2361,Jane Campion,Sean Penn
2362,Woody Allen,Tom Hanks
2363,Brian De Palma,Mary Pickford
2364,Marshall Neilan,Jean Gabin
2365,Jean Renoir,Robert Duvall
2366,Lewis John Carlino,Mark Harmon
2367,Steven KampmannWilliam Porter,Jack Nicholson
2368,Jack Nicholson,Bono
2369,Phil Joanou,Reuben Bercovitch
2370,John Boorman,Hank Azaria
2371,Tim Robbins,Rob Schneider
2372,Mike Mitchell,Tom Hanks
2373,Frank Darabont,Tobey Maguire
2374,Lasse Hallström,Ray Winstone
2375,Tim Roth,Timothy Bottoms
2376,Peter Bogdanovich,Kerwin Mathews
2377,Nathan Juran,Jodie Foster
2378,Andy Tennant,Robin Williams
2379,Chris Columbus,Michael J. Fox
2380,Rob Minkoff,Gong Li
2381,Kaige Chen,James Levine
2382,"James Algar(segment Sorcerer's Apprentice, The)Gaëtan Brizzi(segment Firebird Suite, The)Paul Brizzi(segment Firebird Suite, The)",Tom Cruise
2383,Paul Thomas Anderson,Ralph Fiennes
2384,Martha Fiennes,Nick Nolte
2385,Matthew Warchus,Jim Broadbent
2386,Mike Leigh,Wesley Snipes
2387,James B. Harris,Jack Nicholson
2388,Mike Nichols,Peter Fonda
2389,Dennis Hopper,Timothy Hutton
2390,John Schlesinger,Laurence Harvey
2391,Jack Clayton,Al Pacino
2392,Oliver Stone,Jim Carrey
2393,Milos Forman,Tim Allen
2394,Dean Parisot,Matt Damon
2395,Anthony Minghella,Ice Cube
2396,Steve Carr,Denzel Washington
2397,Norman Jewison,Emily Watson
2398,Alan Parker,Anthony Hopkins
2399,Julie Taymor,Fred A. Leuchter Jr.
2400,Errol Morris,Sofia Polanska
2401,Agnieszka Holland,Ethan Hawke
2402,Scott Hicks,Winona Ryder
2403,James Mangold,Frankie Muniz
2404,Jay Russell,James Spader
2405,Walter Hill,Ayesha Dharker
2406,Santosh Sivan,Barbra Streisand
2407,Sydney Pollack,William Holden
2408,Billy Wilder,Sean Connery
2409,Peter Hyams,Steve McQueen
2410,Franklin J. Schaffner,Jack Nicholson
2411,Hal Ashby,Jack Nicholson
2412,Bob Rafelson,Nicole Kidman
2413,Phillip Noyce,Gregory Peck
2414,Franklin J. Schaffner,Rachel Ward
2415,Taylor Hackford,Emilio Estevez
2416,Gene Quintano,Sean Penn
2417,Amy Heckerling,Meryl Streep
2418,Fred Schepisi,Kevin Conroy
2419,Kevin Altieri(sequence director)Boyd Kirkland(sequence director)Frank Paur(sequence director),Kevin Costner
2420,John Badham,Janet Gaynor
2421,William A. WellmanJack Conway(uncredited)Victor Fleming(uncredited),Melanie Griffith
2422,John Schlesinger,Anthony Higgins
2423,Peter Greenaway,Brian Deacon
2424,Peter Greenaway,Eiji Okada
2425,Hiroshi Teshigahara,Freddie Prinze Jr.
2426,Kris Isacsson,Jon Voight
2427,Ronald Neame,Peter Boyle
2428,Art Linson,Ewan McGregor
2429,Stephan Elliott,Craig Ferguson
2430,Kevin Allen,Orgyen Tobgyal
2431,Khyentse Norbu,Sean Astin
2432,Les Mayfield,Richard Dreyfuss
2433,Herbert Ross,Denzel Washington
2434,Spike Lee,Whoopi Goldberg
2435,Emile Ardolino,Whoopi Goldberg
2436,Bill Duke,Annabella Sciorra
2437,Curtis Hanson,Ethan Hawke
2438,Frank Marshall,Jane Fonda
2439,Norman Jewison,Al Pacino
2440,Martin Brest,Mike Myers
2441,Penelope Spheeris,Mike Myers
2442,Stephen Surjik,Tom Hanks
2443,Penny Marshall,Harrison Ford
2444,Phillip Noyce,Kevin Costner
2445,Mick Jackson,Meryl Streep
2446,Robert Zemeckis,Tom Cruise
2447,Ron Howard,Anthony Hopkins
2448,James Ivory,Bridget Fonda
2449,Cameron Crowe,Sheryl Lee
2450,David Lynch,Wesley Snipes
2451,Ron Shelton,Kristy Swanson
2452,Fran Rubel Kuzui,Chow Yun-Fat
2453,John Woo,Benoît Poelvoorde
2454,Rémy BelvauxAndré BonzelBenoît Poelvoorde,Carlos Gallardo
2455,Robert Rodriguez,Sylvester Stallone
2456,Roger Spottiswoode,Mel Gibson
2457,Steve Miner,D.B. Sweeney
2458,Paul Michael Glaser,John Malkovich
2459,Gary Sinise,Harvey Keitel
2460,Abel Ferrara,David Arquette
2461,Wes Craven,Bridget Fonda
2462,Barbet Schroeder,Willem Dafoe
2463,Troy Duffy,Liam Neeson
2464,Eric Blakeney,Anjanette Comer
2465,Ted Post,Daphne
2466,Susan MuskaGréta Olafsdóttir,Gena Rowlands
2467,John Cassavetes,George C. Scott
2468,Anthony Harvey,Leonardo DiCaprio
2469,Danny Boyle,Chevy Chase
2470,Chris Koch,Jim Cummings
2471,Jun Falkenstein,Minzhi Wei
2472,Yimou Zhang,Neville Brand
2473,Tobe Hooper,Bruce Jones
2474,Ken Loach,Sidney Poitier
2475,James Clavell,Giovanni Ribisi
2476,Ben Younger,Diane Keaton
2477,Diane Keaton,Radha Mitchell
2478,David Twohy,Bruce Willis
2479,Jonathan Lynn,Thomas Goodridge
2480,Jasmin Dizdar,Tracey Helton
2481,Steven Okazaki,Charles Chaplin
2482,Charles Chaplin,Charles Chaplin
2483,Charles Chaplin,Matt Dillon
2484,Garry Marshall,Charles Chaplin
2485,Charles Chaplin,Gerrit Graham
2486,Michael Miller,David Niven
2487,H. Bruce Humberstone,Ben Affleck
2488,John Frankenheimer,Michael Douglas
2489,Curtis Hanson,Steve Zahn
2490,Pontus LöwenhielmPatrick von Krusenstjerna,Danny DeVito
2491,Nick Gomez,Madonna
2492,John Schlesinger,Garry Shandling
2493,Mike Nichols,Terry Funk
2494,Barry W. Blaustein,Forest Whitaker
2495,Jim Jarmusch,Noah Taylor
2496,John Duigan,Natalie Wood
2497,Elia Kazan,Matt Lattanzi
2498,George Bowers,Humphrey Bogart
2499,John Huston,Jim Lovell
2500,Al Reinert,Judy Holliday
2501,George Cukor,Matthew Modine
2502,Alan Parker,William Kerwin
2503,Herschell Gordon Lewis,Ron Brown
2504,Winston Hibler,Charles Martin Smith
2505,Carroll Ballard,Sidney Poitier
2506,Daniel Petrie,Ian Hart
2507,Aileen Ritchie,Tim Robbins
2508,Brian De Palma,Johnny Depp
2509,Roman Polanski,Oleg Menshikov
2510,Régis Wargnier,Albert Brooks
2511,Albert Brooks,Dennis Christopher
2512,Peter Yates,Gene Hackman
2513,David Anspaugh,Kevin Costner
2514,Ron Shelton,Al Pacino
2515,Sidney Lumet,Richard Dreyfuss
2516,George Lucas,Sterling Hayden
2517,John Huston,John Wayne
2518,John Ford,Gregory Peck
2519,William Wyler,Debra Winger
2520,Costa-Gavras,George Segal
2521,John Guillermin,Cora Lee Day
2522,Julie Dash,John Malkovich
2523,Volker Schlöndorff,Gregory Peck
2524,Stanley Kramer,Walter Matthau
2525,Joseph Sargent,Tom Hanks
2526,Nicholas Meyer,Kevin Costner
2527,Oliver Stone,John Candy
2528,Paul Flaherty,John Lithgow
2529,William Dear,Michael Schoeffling
2530,Stuart Rosenberg,Sean Penn
2531,Jim Goddard,Madonna
2532,James Foley,Meryl Streep
2533,Susan Seidelman,Michael E. Knight
2534,Tom McLoughlin,Kim Basinger
2535,Blake Edwards,Jeff Bridges
2536,Robert Benton,Jim Henson
2537,James Frawley,Jim Henson
2538,Jim Henson,Jim Henson
2539,Frank Oz,John Goodman
2540,Phil NibbelinkSimon WellsDick Zondag,William Katt
2541,Bill Norton,Glenda Jackson
2542,John Irvin,Jason Robards
2543,Jerry Jameson,Clifton Webb
2544,Jean Negulesco,Kenneth More
2545,Roy Ward Baker,Gregory Peck
2546,Raoul Walsh,Julia Roberts
2547,Steven Soderbergh,Devon Sawa
2548,James Wong,Jeanie Drynan
2549,Christina Andreef,Tchéky Karyo
2550,Jean-Jacques Annaud,William Holden
2551,Henry KingOtto Lang(uncredited),Margarita Terekhova
2552,Andrei Tarkovsky,Burt Lancaster
2553,Robert Siodmak,Susan Sarandon
2554,Ridley Scott,Al Pacino
2555,Norman Jewison,John Belushi
2556,John Landis,Tracy Camilla Johns
2557,Spike Lee,Laurence Fishburne
2558,Spike Lee,Danny Aiello
2559,Spike Lee,Denzel Washington
2560,Spike Lee,Wesley Snipes
2561,Spike Lee,Jon Voight
2562,Franco Zeffirelli,Nick Park
2563,Nick Park,Charles Bronson
2564,Michael Winner,Charles Bronson
2565,Michael Winner,Charles Bronson
2566,Michael Winner,Charles Bronson
2567,J. Lee Thompson,Charles Bronson
2568,Allan A. Goldstein,Fred MacMurray
2569,Billy Wilder,Julia Roberts
2570,Joel Schumacher,Judith Hoag
2571,Steve Barron,Paige Turco
2572,Michael Pressman,Elias Koteas
2573,Stuart Gillard,Patrick Swayze
2574,John Milius,Stephen Lang
2575,Paul Michael Glaser,Jean-Claude Van Damme
2576,Newt Arnold,Faye Dunaway
2577,Irvin Kershner,Jerry Lewis
2578,Peter Chelsom,Paul Muni
2579,Sidney FranklinVictor Fleming(uncredited)Gustav Machatý(uncredited),Robin Williams
2580,Barry Levinson,Diane Keaton
2581,Leonard Nimoy,Jack Lemmon
2582,Donald Petrie,Spencer Tracy
2583,Stanley Kramer,Jet Li
2584,Andrzej Bartkowiak,Chris Klein
2585,Mark Piznarski,Shane West
2586,David Raynr,Aidan Gillen
2587,Mark Hanlon,Hossein Mahjoub
2588,Majid Majidi,Gabriel Byrne
2589,Ken Russell,James Aubrey
2590,Peter Brook,Charles Chaplin
2591,Charles Chaplin,Robert Downey Jr.
2592,Ron Underwood,Paul Newman
2593,Martin Ritt,Paul Newman
2594,Robert Rossen,Spencer Tracy
2595,Stanley Kramer,Maksim Munzuk
2596,Akira Kurosawa,Richard Dreyfuss
2597,Steven Spielberg,Myriam Boyer
2598,Alain Tanner,Jim Belushi
2599,Louis Morneau,Montgomery Clift
2600,George Stevens,Tim Robbins
2601,Adrian Lyne,Anthony LaPaglia
2602,Allan Moyle,Lou Diamond Phillips
2603,Luis Valdez,Matthew Broderick
2604,Richard Donner,Corey Haim
2605,David Seltzer,John Cusack
2606,Stephen Frears,Kevin Kline
2607,Bibo BergeronDon PaulJeffrey Katzenberg(uncredited),Joshua Jackson
2608,Rob Cohen,Dustin Hoffman
2609,Steven Spielberg,Rudolph Valentino
2610,George Fitzmaurice,John Wayne
2611,Henry Hathaway,Shirley MacLaine
2612,John Schlesinger,Jason Robards
2613,Herbert Ross,Brad Davis
2614,Alan Parker,James Caan
2615,Rob Reiner,Billy Crystal
2616,Billy Crystal,Sally Field
2617,Martin Ritt,Michael Keaton
2618,Bruce Joel Rubin,Natalya Bondarchuk
2619,Andrei Tarkovsky,Faye Dunaway
2620,Sidney Lumet,Kevin Costner
2621,Roger Donaldson,Nick Nolte
2622,Ted Kotcheff,Jack Lemmon
2623,Gene Saks,Clint Eastwood
2624,Clint Eastwood,Dennis Quaid
2625,Gregory Hoblit,David Arquette
2626,Brian Robbins,David Duchovny
2627,Bonnie Hunt,Tommy Lee Jones
2628,William Friedkin,Ian Holm
2629,Stanley Tucci,Rachel Griffiths
2630,Pip Karmel,James Stewart
2631,Richard Quine,Harrison Ford
2632,Guy Hamilton,Masatoshi Nagase
2633,Jim Jarmusch,Dudley Moore
2634,Steve Gordon,Tom Hanks
2635,Neal Israel,Steve Martin
2636,Ron Howard,Arnold Schwarzenegger
2637,John McTiernan,Barbra Streisand
2638,Barbra Streisand,Jack Nicholson
2639,Bob Rafelson,Emmanuelle Chaulet
2640,Jon Jost,Sandra Bullock
2641,Betty Thomas,Christian Bale
2642,Mary Harron,Ben Stiller
2643,Edward Norton,Paul Newman
2644,Marek Kanievska,Om Puri
2645,Damien O'Donnell,Paul Cook
2646,Julien Temple,Steve Guttenberg
2647,Barry Levinson,Bobcat Goldthwait
2648,Bobcat Goldthwait,Liza Minnelli
2649,Bob Fosse,Bette Davis
2650,Robert Aldrich,Rosalind Russell
2651,Morton DaCosta,Marlon Brando
2652,Joseph L. Mankiewicz,Catherine Deneuve
2653,Tony Scott,Dustin Hoffman
2654,John Schlesinger,Chevy Chase
2655,Harold Ramis,James Marsden
2656,Davis Guggenheim,Sanaa Lathan
2657,Gina Prince-Bythewood,Matthew McConaughey
2658,Jonathan Mostow,Kirsten Dunst
2659,Sofia Coppola,Andy Garcia
2660,Bruce Robinson,Charles Chaplin
2661,Charles Chaplin,Kirsten Dunst
2662,Bharat Nalluri,Mark Addy
2663,Brian Levant,Natalie Portman
2664,Matt Williams,Kevin Spacey
2665,John Swanbeck,Amy Irving
2666,Bruno Barreto,Derick Martini
2667,Kevin Jordan,Bodil Jørgensen
2668,Lars von Trier(uncredited),Jeanne Tripplehorn
2669,Mike Figgis,Diane Ladd
2670,Adam SimonDarren Moloney(additional sequences),John Savage
2671,Louis Morneau,Scott Valentine
2672,Jonathan Winfrey,Kyle MacLachlan
2673,Jack Sholder,Sherilyn Fenn
2674,Zalman King,Russell Crowe
2675,Ridley Scott,Kristin Scott Thomas
2676,Philip Haas,John Simm
2677,Justin Kerrigan,Richard Gere
2678,Jim McBride,Ray Sharkey
2679,Taylor Hackford,Leigh McCloskey
2680,Dario Argento,Sylvester Stallone
2681,Martin DavidsonStephen Verona,Michael Keaton
2682,Stan Dragoti,Jean Valmont
2683,René Laloux,John Travolta
2684,Roger Christian,Amanda Schull
2685,Nicholas Hytner,Norm MacDonald
2686,Scott AlexanderLarry Karaszewski,Amanda Peet
2687,Peter M. Cohen,Ethan Hawke
2688,Michael Almereyda,Frank Sinatra
2689,George SidneyJoseph Barbera(animation sequences)William Hanna(animation sequences),Rosalind Russell
2690,Mervyn LeRoy,Gene Kelly
2691,Stanley DonenGene Kelly,Paul Reubens
2692,Tim Burton,Barbara Sonneborn
2693,Barbara Sonneborn,James Caan
2694,Andrew Bergman,D.B. Sweeney
2695,Eric LeightonRalph Zondag,Jason Biggs
2696,Amy Heckerling,Breckin Meyer
2697,Todd Phillips,Woody Allen
2698,Woody Allen,Tony Danza
2699,Floyd Mutrux,Mel Brooks
2700,Mel Brooks,Tom Cruise
2701,John Woo,Jackie Chan
2702,Tom Dey,Moby
2703,Jon Reiss,John Standing
2704,Peter Greenaway,Candace Hilligoss
2705,Herk Harvey(directed),John Wayne
2706,David Miller,Charles Chaplin
2707,Charles Chaplin,Charles Chaplin
2708,Charles Chaplin,George Lazenby
2709,Peter R. Hunt,Burt Lancaster
2710,John Frankenheimer,Roger Moore
2711,Lewis Gilbert,Sandrine Bonnaire
2712,Agnès Varda,Roger Moore
2713,Lewis Gilbert,Roger Moore
2714,Guy Hamilton,Charles Chaplin
2715,Charles Chaplin,Edna Purviance
2716,Charles Chaplin,John Wayne
2717,Edward Ludwig,Martin Lawrence
2718,Raja Gosnell,Forrest Tucker
2719,Val Guest,Richard Gere
2720,Paul Schrader,Christopher George
2721,Lucio Fulci,Robert August
2722,Bruce Brown,David Niven
2723,J. Lee Thompson,Marcello Mastroianni
2724,Marco Ferreri,James Donald
2725,Roy Ward Baker,Paul Le Mat
2726,David Schmoeller,Elizabeth Maclellan
2727,David Allen,Guy Rolfe
2728,David DeCoteau,Gordon Currie
2729,Jeff Burr,Gordon Currie
2730,Jeff Burr,Burt Reynolds
2731,Jerry London,Leonard Whiting
2732,Franco Zeffirelli,John Ritter
2733,Peter Hyams,Cleavon Little
2734,Mel Brooks,Peter Breck
2735,Joe Camp,Red Steagall
2736,Joe Camp,Patsy Garrett
2737,Joe Camp,Bing Crosby
2738,Michael Curtiz,Jack Nance
2739,David Lynch,Mark Magidson
2740,Ron Fricke,Frank Sinatra
2741,Otto Preminger,Eugene Tatu
2742,Penelope Spheeris,Joe Perry
2743,Penelope Spheeris,Clint Eastwood
2744,Sergio Leone,Clint Eastwood
2745,Ted Post,John Getz
2746,Joel CoenEthan Coen(uncredited),Jeff Bridges
2747,Steve Kloves,Jack Nicholson
2748,John Huston,Kiefer Sutherland
2749,Joel Schumacher,Glenn Close
2750,René Laloux,Dan Monahan
2751,Bob Clark,Dan Monahan
2752,Bob Clark,Dan Monahan
2753,James Komack,Phoebe Cates
