Movie_number,Description
63688,"A debonair, adventuresome bank executive believes he has pulled off the perfect multi-million dollar heist, only to match wits with a sexy insurance investigator who will do anything to get her man."
122515,"Three twisted tales of abuse, drugs, displaced personalities, and insect life by Scottish writer Irvine Welsh."
168449,"In June, 1983, in Dutchess County, New York, Sebastian Cole joins his mother, step-father, and sister for dinner. Hank, Sebastian's step-father, drops a bomb: he announces he's changing sexes. Sebastian's sister splits immediately for California, and his mother takes him back to ... Read all"
138946,Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.
131325,"When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him."
120620,Two women are arrested for smuggling while vacationing in Thailand.
165710,"In 1978, four rebellious teenagers try to scam their way into a KISS concert."
168987,"Maggie, 19, works at a lesbian/LGBT bookstore. Her mom's getting divorced and has invited herself to stay with Maggie. Maggie hasn't told her, she's lesbian. Her new girlfriend moves in as well."
138487,A 19 year old Greek Australian youth struggles with his sexual identity and has one clumsy heterosexual and several homosexual encounters.
77663,"A Los Angeles Rams quarterback, accidentally taken away from his body by an overanxious angel before he was meant to die, returns to life in the body of a recently murdered millionaire."
55304,"In the sixteenth century, Francis Barnard travels to Spain to clarify the strange circumstances of his sister's death after she had married the son of a cruel Spanish Inquisitor."
58333,"A European prince terrorizes the local peasantry while using his castle as a refuge against the ""Red Death"" plague that stalks the land."
91178,Two radio voice actors are getting married. Larry has fits of fear. A shrink needs 36 hours to scare him to death and cure him - a family reunion at a scary family castle.
88889,A stray cat is the linking element of three tales of suspense and horror.
66765,An anthology of the best sketches from the first and second seasons of Monty Python's Flying Circus (1969).
77394,"Damien the Antichrist, now about to turn thirteen years old, finally learns of his destiny under the guidance of an unholy disciple of Satan. Meanwhile dark forces begin to eliminate all those who suspect the child's true identity."
82377,The now adult Antichrist plots to eliminate his future divine opponent while a cabal of monks plot to stop him.
80339,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
83530,A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track - again?
118604,An American man unwittingly gets involved with French werewolves who have developed a serum allowing them to transform at will.
89670,The Griswolds win a vacation tour across Europe where the usual havoc ensues.
85995,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.
95188,"A couple swap city life for the country, but their picturesque new hometown turns out to be just a little bit different to what they were expecting."
94737,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
100419,A young boy is just short of a monster. He is adopted by a loving man and his wacky wife. The laughs keep coming as the boy pushes them to the limits.
102719,"The worst child in the world makes an unthinkable discovery - there is another child even worse than him, and it's a girl."
104740,"Each night, young Nemo goes to Slumberland and has adventures and befriends the king of Slumberland, Morpheus. But one night Nemo discovers Nightmare Land, and the evil nightmare king, throwing Slumberland and Nemo himself into danger."
119843,"In mid-1800s England, Oscar is a young Anglican priest, a misfit and an outcast, but with the soul of an angel. As a boy, even though from a strict Pentecostal family, he felt God told him through a sign to leave his father and his faith and join the Church of England. Lucinda is... Read all"
96244,"A former L.A. drug dealer tries to go straight but his past and his underworld connections bring him into the focus of the DEA, the Mexican feds and the Mexican drug cartels."
107798,"A law student uncovers a conspiracy, putting herself and others in danger."
85334,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
130121,"An English auctioneer proposes to the daughter of a Mafia kingpin, only to realize that certain ""favors"" would be asked of him."
133046,"The story of a girl who is willing to do anything to become Valedictorian, even if it means murdering the teacher that stands in her way."
176269,"The ""universal soldiers"" must fight the whole army, when the military's supercomputer S.E.T.H gets out of control."
105698,Two rival soldiers who were killed in Vietnam are brought back to life in a top secret military experiment that creates superhuman warriors.
156887,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
160401,"Right out of police academy, Jeff/Omar Epps starts as undercover cop in Cincinnati. First it's small time cases but he proves himself and moves up to a big case - befriending a brutal crime boss."
181833,"Traces the Beats from Allen Ginsberg and Jack Kerouac's meeting in 1944 at Columbia University to the deaths of Ginsberg and William S. Burroughs in 1997. Three actors provide dramatic interpretations of the work of these three writers, and the film chronicles their friendships, ... Read all"
91278,"A young pilot plans a rescue mission when his father, an Air Force Colonel, is shot down over enemy territory and captured."
95382,A joint U.S.- Soviet strike force is assembled to wipe out a nuclear base in an outlaw nation that plans to take the world hostage.
103617,"Chappy discovers a drug-smuggling scheme at his own air base. It turns out that the lives of some village people in Peru are at stake, and he decides to fly there with ancient airplanes and friends to free them."
113438,"Fighter pilot Doug Masters teaches at his flight school for teens in trouble with the law. In an emergency landing on a deserted airforce base, the kids accidentally uncover a deranged plot to wage chemical warfare."
73802,"A bookish CIA researcher in Manhattan finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust."
58175,"The highly successful 1964 Richard Burton Broadway production of ""Hamlet"", deliberately staged in the style of a ""dress rehearsal"", but performed in front of a live audience."
104839,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love."
181733,The story of three young boxers and their coach who is determined to guide them in a positive direction in and out of the ring.
120657,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat i... Read all"
138304,"After an explosion in space and subsequent two-minute radio-out period, two astronauts return home to their wives. Slightly it's revealed that they're not the same as they were."
160236,Inept Canadian mountie Dudley Do-Right chases after villian Snidely Whiplash and woos girlfriend Nell Fenwick.
164108,"With his career on the skids, a Hollywood screenwriter enlists the aid of a modern-day muse, who proves to test his patience."
163579,"A new biological chemical weapon that explodes up to temperatures over fifty degrees Fahrenheit, falls into the hands of two men who try to make sure that it doesn't get stolen by a terrorist."
125971,"After one too many run ins with the law, a punk teenager from a working class background is sent to prep school by his frustrated dad, and learns a thing or two."
126810,"At the suggestion of a straight friend, gay man Leo joins a men's group, where he causes some upsets by declaring his attraction to one of its members."
157183,"In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascinating, getting from West to East is a game. His mo... Read all"
145531,"When a young woman becomes afflicted by stigmata, a priest is sent to investigate her case, which may have severe ramifications for his faith and for the Catholic Church itself."
164181,"After being hypnotized by his sister-in-law, a man begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around him."
118843,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
151582,"Aimless Vann Siegert takes a bizarre turn in life and becomes a serial killer, tracking down the miserable, the self-destructive and those who otherwise seem willing to die."
97050,The adventures of a young cat and a dog as they find themselves accidentally separated and each swept into a hazardous trek.
31762,"At a remote South American trading port, the manager of an air-freight company is forced to risk his pilots' lives in order to win an important contract as a traveling American showgirl stops in town."
45251,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio when in reality, it is all part of the scheme of a bitter Ensign named Iago."
81454,Two lovers stationed at a remote base in the asteroid fields of Saturn are intruded upon by a retentive technocrat from Earth and his charge: a malevolent eight foot robot.
88146,An African-American officer investigates a murder in a racially charged situation in World War II.
59297,Teenagers Libby and Kit innocently spend an evening making random prank calls that lead to murderous consequences.
63823,The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.
169547,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
88178,An innovative concert movie for the rock group Talking Heads.
181316,A former convict poses as a cop to retrieve a diamond he stole years ago.
126916,"After 19 years of playing the game he's loved his whole life, Detroit Tigers pitcher Billy Chapel has to decide if he's going to risk everything and put everything out there."
80491,"Details the graphic and shocking but undeniably tragic story of Rome's most infamous Caesar, Gaius Germanicus Caligula."
58182,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance."
173390,"Unimpassioned look at the lives of struggling L.A. scene rock stars follows main character, Gwen, on her quest for the top. Working as an assistant to a film production designer, she tries to steal her boy friend who is a music producer by offering sexual favors. The producer mea... Read all"
77280,"The story of the life and career of the early rock and roll singer, from his meteoric rise to stardom, to his marriage and untimely death."
89175,"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead."
97390,"Charley Brewster and Peter Vincent must face more vampires, out for revenge."
61385,"Paul, a conservative young lawyer, marries the vivacious Corie. Their highly passionate relationship descends into comical discord in a five-flight New York City walk-up apartment."
68473,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
82348,"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart."
50814,An Iowa pajama factory worker falls in love with an affable superintendent who had been hired by the factory's boss to help oppose the workers' demand for a pay raise.
108185,"A farmer returns home from the Civil War, but his wife begins to suspect that the man is an impostor."
111419,"This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads, moles, and beetles before she can proceed with her courtship with her dream lover, Prince Cornelius."
73812,"A psychosomatically blind, deaf, and mute boy becomes a master pinball player and, subsequently, the figurehead of a cult."
82511,"Four college pledges are forced to spend the night in a deserted old mansion, where they are stalked by the monstrous survivor of a family massacre years earlier."
99558,"Jackie is hired to help the UN find Nazi gold hidden in Sahara. He's accompanied from Spain by 2 (later 3) cute women. As there are others wanting the gold, lots of kung fu fighting and comedy follows."
91431,Asian Hawk (Jackie Chan) and his bumbling sidekick are sent on a quest through Europe to find a mysterious treasure held by a shadowy organization of monks.
150377,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
120716,"During World War II, an ordinary inhabitant of a ghetto fakes news about Allied offensives to inspire hope for other victims of the Nazi regime."
140397,"In the small town of Mumford, a psychologist of the same name moves in and quickly becomes very popular, despite a questionable past."
129884,"Two dog lovers meet at a singles bar, recognizing each other from the dog park. Andy and Lorna are recent singles after their exes met."
160338,A young girl from an affluent family rebels and becomes involved with a much older photographer.
159421,"A tug-of-war between Elmo and his friend sends his blanket to faraway Grouchland, a place full of grouchy creatures and the villainous Huxley. Elmo embarks on a rescue mission, learning important lessons about sharing and responsibility."
168172,Basketball superstar Dennis Rodman stars as a hip Interpol agent attempting to defeat the deadly plans of a crazed arms dealer.
164114,"Nicole and Chase used to be BFFs, then junior high happened. The high school centennial dance is coming but Nicole gets dumped. So does Chase. They stage a relationship to get at their exes. They visit each other's worlds. Love in the air?"
134618,This comedy is about the residents of a small town who get over-excited when their hockey team gets chosen to host a televised event
120188,"In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help."
162360,"3 prisoners escape. 2 end up in Happy, Texas, where they're mistaken for a gay couple expected there to help with the small girls beauty pageant. As the 2 are paid $1000, they decide to stay until the heat is gone."
133122,"Two businessmen are hired to steal secrets from a rival, and decide to use a beautiful call girl to do so."
134033,"Two robbers are persecuted by the law, whose servants are not much better and even worse."
194314,"Frustrated by the lack of intimacy in her relationship, a young schoolteacher goes through a series of intimidating and often violent sexual partners."
60095,"During the Civil War, Mexican cattleman Alvarez Kelly supplies the Union with cattle until Confederate Colonel Tom Rossiter's hungry men force Kelly to change his customers."
87188,"In 1914, a luxury ship leaves Italy in order to scatter the ashes of a famous opera singer. A lovable bumbling journalist chronicles the voyage and meets the singer's many eccentric friends and admirers."
106664,A writer's fictional alter ego wants to take over his life...at any price.
31397,A doctor washes ashore on an island inhabited by little people.
95652,"A quadriplegic man has a trained monkey help him with his paralysis, until the little monkey begins to develop feelings, and rage, against its new master."
79714,"A teenage boy and his friends face off against a mysterious grave robber, known only as the Tall Man, who employs a lethal arsenal of unearthly weapons."
86154,"After twenty-two years of psychiatric care, Norman Bates attempts to return to a life of solitude, but the specters of his crimes - and his mother - continue to haunt him."
91799,"Norman Bates falls in love with a fallen nun who stays at the Bates Motel alongside a drifter and a curious reporter. Meanwhile, ""Mother"" is still watching."
56443,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent."
156934,"Police Sergeant Dutch Van Den Broek (Harrison Ford) and U.S. Representative Kay Chandler (Dame Kristin Scott Thomas) lose their spouses in a plane crash, and they soon discover that their spouses were having an affair with each other."
167427,"A nerdy Catholic schoolgirl, Mary Katherine Gallagher, dreams of superstardom."
171804,"A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska."
165854,An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.
86200,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
100802,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
82089,"In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband."
91042,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
86617,A young Australian reporter tries to navigate the political turmoil of Indonesia during the rule of President Sukarno with the help of a diminutive photographer.
68699,A gun-fighting stranger comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.
61747,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice."
80179,"Wong Fei-Hung (Jackie Chan) is a mischievous, yet righteous young man, but after a series of incidents, his frustrated father has him disciplined by Beggar So (Siu-Tin Yuen), a Master of drunken martial arts."
65571,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
95270,A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
37558,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
87980,He had everything and wanted nothing. He learned that he had nothing and wanted everything. He saved the world and then it shattered. The path to enlightenment is as sharp and narrow as a razor's edge.
82979,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States."
176093,The story of U.S. fighter pilots shot down over North Vietnam who became POWs for up to 8 and a half years.
97223,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
77405,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
33804,"A trio of classy card sharps targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him."
34240,Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
35169,"A New York inventor needs cash to develop his big idea, so his adoring wife decides to raise it by divorcing him and marrying an eccentric Florida millionaire with a capricious high-society sister."
46126,"As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder."
38559,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.
52225,"On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who's being courted for a dangerous military mission."
85549,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.
104507,"Eliane adopts Camille, whose Vietnamese parents were friends. In 1930, a French navy officer is interested in Eliane (owns 60km2 plantation) and later in Camille. There's an uprising in Vietnam against French colonial power."
61578,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
59260,"Sir Ringo Starr finds himself the human sacrifice target of a cult, and his fellow members of The Beatles must try to protect him from it."
58150,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
57076,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.
55928,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.
80453,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene."
58461,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
119256,Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.
104431,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
94008,A married New York cop falls for the socialite murder witness he's been assigned to protect.
137523,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
160916,Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage.
119114,A sports fan's romantic courtship clashes with his obsession with his favorite football team.
192194,A portrait of the effects of schizophrenia on family life is the central focus.
203408,A rabbi in Jerusalem develops software that can unlock prophecies in the Torah. He's murdered and the software stolen. A powerful man uses it to gain world domination.
166896,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
48977,A housewife suspects that her seemingly perfect eight-year-old daughter is a heartless killer.
81633,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal."
61138,"A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy."
83946,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
78754,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
93206,"When a leprous winery owner in 1930s China dies a few days after his arranged marriage, his young widow is forced to run the winery to make a living while contending with bandits, her drunkard lover, and the invading Japanese army."
97123,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
200469,Genetically mutated bats escape and it's up to a bat expert and the local sheriff to stop them.
168501,"Just before his best friend's wedding, the life of a Chicago writer becomes crazy when his best friend guesses that his new book's story is based on his bride's fervent past."
163988,"Haunted by the patients he failed to save, a monumentally burned-out Manhattan ambulance paramedic fights to maintain his sanity over three increasingly turbulent nights."
142201,An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.
144640,"A rich businessman's assumption that his new colleague is gay leads him to ask the man to keep an eye on his mistress. However, the man is not gay, and begins to fall for the woman himself."
172627,"A tale of the mysterious, but necessary, mating ritual between men and women of today and everything they think about sex but are afraid to say."
99710,A young couple with a newborn baby don't realize that the nanny they hired is a magical nymph who sacrifices infants to an evil tree.
59319,"In London, a counter espionage Agent deals with his own bureaucracy while investigating the kidnapping and brainwashing of British scientists."
67527,"Documentary on motorcycle racing featuring stars of the sport, including film star Steve McQueen, a racer in his own right."
93870,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
100502,"Cyborg law enforcer RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2."
96438,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
81150,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes."
82398,"James Bond is assigned to find a missing British vessel, equipped with a weapons encryption device and prevent it from falling into enemy hands."
97742,A vengeful James Bond goes rogue to infiltrate and take down the organization of a drug lord who has murdered his friend's new wife and left him near-death.
70328,James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.
91829,An ancient creature called Rawhead is awakened from its slumber near an Irish village and goes on a rampage killing anyone in sight.
59800,James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.
185371,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past."
166943,Story of a schoolteacher's struggle to teach violin to inner-city Harlem kids.
120601,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
119698,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
200849,"In the 1950s, an adolescent Werner Herzog was transfixed by a film performance of the young Klaus Kinski. Years later, they would share an apartment where, in an unabated, forty-eight-hour fit of rage, Kinski completely destroyed the bathroom. From this chaos, a violent, love-hat... Read all"
170705,"In 1941, the inhabitants of a small Jewish village in Central Europe organize a fake deportation train so that they can escape the Nazis and flee to Palestine."
120596,"A commitment-phobic man goes in search of a bride, including his fed-up girlfriend, to inherit his grandfather's one hundred million dollar inheritance."
145681,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.
140352,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
181288,Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.
156729,A group of very different individuals with different ideas of how to face the end come together as the world is expected to end in six hours at the turn of the century.
200071,"Young and impulsive Rosetta lives with her alcoholic mother and, moved by despair, she will do anything to maintain a job."
65088,The lives of a disparate group of contestants intertwine in an inhumanely grueling dance marathon.
99180,Doctors Herbert West and Dan Cain discover the secret to creating human life and proceed to create a perfect woman from dead tissue.
82121,Failed parolee Joe Braxton has one last shot at redemption: by driving school kids to Philadelphia.
77355,When a young female doctor notices an unnatural amount of comas occurring in her hospital she uncovers a horrible conspiracy.
83767,An anthology which tells five terrifying tales inspired by the E.C. horror comic books of the 1950s.
92796,"Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
89885,"After an odd new medical student arrives on campus, a dedicated local and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue."
97240,A pharmacy-robbing dope fiend and his crew pop pills and evade the law.
106856,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.
82427,"Four teenagers visit a local carnival for a night of innocent amusement. They soon discover, however, that there is nothing innocent or amusing there at all."
17925,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
78087,"When flesh-eating piranhas are accidentally released into a summer resort's rivers, the guests become their next meal."
61407,"Brutish, fortune-hunting scoundrel Petruchio tames his wealthy, shrewish wife, Katharina."
82817,"When one of Europe's most lethal terrorists shows up in New York, an elite undercover cop is assigned to take him down by any means necessary."
55630,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
100475,"Parody of The Exorcist (1973), with Linda Blair once again possessed by Satan, and Leslie Nielsen as the exorcist."
67525,Biological war has decimated life on Earth. Los Angeles is a windswept ghost town where Robert Neville tools his convertible through sunlit streets foraging for supplies.
94012,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.
70608,The story of the legendary British outlaw is portrayed with the characters as humanoid animals.
48380,"In the waning days of World War II, the cargo officer of a Navy supply ship chafes at its role far from the action in the Pacific's backwater areas, his frustration rising when its captain denies the crew liberty over petty irritations."
82484,This story takes place in prehistoric time when three tribesmen search for a new fire source.
65988,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer."
50371,A female radio reporter turns a folk-singing drifter into a powerful media star.
86465,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.
79540,Wacky hijinks of counselors and campers at a less-than-average summer camp.
87700,Second in the series of Meatball movies. A group of kids attempt to save a summer camp that's a financial failure.
93516,The ghost of a dead porn star comes to Earth to help a nerd with his sex life.
104837,"Ricky is the hottest water-ski instructor around and he has just be rehired by his former employer/camp to whip up attendance. But the camp is in serious financial trouble and the owner of a rival, more popular, camp wants to buy them out. Therefore they will have to engage in a ... Read all"
101669,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives."
105130,"Six former college friends, with two new friends, gather for a New Year's Eve weekend reunion at a large English countryside manor after ten years to reminisce about the good times now long gone."
113416,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.
83254,"A visiting dignitary, a CIA agent, a Nazi spy, Japanese tourists, an assassin and a group of ""midget"" actors from The Wizard of Oz (1939) all check into an elite Los Angeles hotel called Under the Rainbow."
149691,A mother and daughter search for success in Beverly Hills.
120655,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.
151137,A young girl receives a vision that drives her to rid France of its oppressors.
190641,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous."
165773,"A young woman leaves Ireland to find her boyfriend in England, and while there is helped by a man hiding unsettling secrets."
160620,Two guys kidnap the wife of a rich man and bury her in a box with 24 hours of oxygen. Tough NYPD Detective Maddy and others get the case. Will they get to her in time?
118150,"After making a 3-hour fiasco about New York City's water supply, a two-man film crew decides to take it up a notch by documenting life in the private investigator offices of ""Boone and Murphy""."
101605,"Jimmy Rabbitte, an unemployed Dublin boy, decides to put together a soul band made up entirely of the Irish working class."
34862,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer."
56197,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
105156,A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.
119908,A sinister seductress vows to destroy a suburban family.
66473,"The story of the 1941 Japanese air raid on Pearl Harbor, and the series of preceding American blunders that aggravated its effectiveness."
95675,A television actress encounters a variety of eccentric characters after embarking on a journey to discover why her lover abruptly left her.
84855,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
86856,"Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth."
94027,"The story of Jaime Escalante, a high school teacher who successfully inspired his dropout-prone students to learn calculus."
93565,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
59674,"A free-spirited single mother forms a connection with the wedded headmaster of an Episcopalian boarding school in Monterey, California."
68762,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by the Crow tribe and proves to be a match for their warriors in single combat on the early frontier.
59646,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
57187,"A policeman falls in love with a prostitute, Irma, but doesn't want her seeing other men. So he creates an alter-ego, a wealthy Englishman who will be her only customer. Seems like a solid enough plan - what could possibly go wrong?"
164312,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.
165859,"Baltimore, Fall 1954: Schools implement the new integration law. Ben finds the ""colored"" girl in his class cute - upsetting his Jewish mom and granny. Ben talks to her while his brother looks for his WASP dream girl."
178737,"Fanny, born into a poor family, is sent away to live with wealthy uncle Sir Thomas, his wife and their four children, where she'll be brought up for a proper introduction to society."
162661,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman."
143145,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain."
185125,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
24852,"Opposing the evil Barnaby, Ollie Dee and Stanley Dum try and fail to pay-off Mother Peep's mortgage and mislead his attempts to marry Little Bo. Enraged, Barnaby's Bogeymen are set on Toyland."
96061,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve."
42546,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
40522,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
93509,A labor union organizer comes to an embattled mining community brutally and violently dominated and harassed by the mining company.
